-87.998261,41.905966,"McDonalds-Addison,IL","410 W North Ave, Addison,IL, (630) 620-4266|Services:dt/wifi"
-88.0306463,41.9497978,"McDonalds-Addison,IL","501 W Lake St, Addison,IL, (630) 543-8380|Services:dt/wifi"
-88.0589767,38.376979,"McDonalds-Albion,IL","40 West Main St, Albion,IL, (618) 445-4041|Services:dt/wifi"
-90.7321052,41.1995314,"McDonalds-Aledo,IL","1402 SE Third Street, Aledo,IL, (309) 582-2359|Services:dt/wifi"
-88.3352604,42.1739225,"McDonalds-Algonquin,IL","125 S Randall Rd., Algonquin,IL, (847) 658-8099|Services:dt/wifi"
-88.2851922,42.163969,"McDonalds PlayPlace-Algonquin,IL","500 E Algonquin Rd, Algonquin,IL, (847) 658-8262|Services:dt/wifi/pp"
-87.7198148,41.6772537,"McDonalds-Alsip,IL","11850 South Pulaski Avenue, Alsip,IL, (708) 389-4949|Services:dt/wifi"
-88.7479998,39.05423,"McDonalds-Altamont,IL","1010 S Main, Altamont,IL, (618) 483-5354|Services:dt/wifi"
-90.151573,38.916003,"McDonalds-Alton,IL","2400 Homer Adams Pky, Alton,IL, (618) 465-8911|Services:dt/wifi"
-90.174449,38.88928,"McDonalds-Alton,IL","717 E Broadway, Alton,IL, (618) 465-7326|Services:dt/wifi"
-89.236041,37.459939,"McDonalds PlayPlace-Anna,IL","510 E Vienna, Anna,IL, (618) 833-7922|Services:dt/wifi/pp"
-88.0937415,42.4717417,"McDonalds PlayPlace-Antioch,IL","1150 Main Street, Antioch,IL, (847) 395-3200|Services:dt/wifi/pp"
-88.297375,39.680895,"McDonalds-Arcola,IL","550 E Springfield Rd, Arcola,IL 61910, (217) 268-5020|Services:dt/wifi"
-87.981537,42.138546,"McDonalds-Arlington Heights,IL","15 E Dundee Rd, Arlington Heights,IL, (847) 259-2830|Services:dt/wifi"
-87.9805351,42.1104642,"McDonalds PlayPlace-Arlington Heights,IL","1920 N Arlington Heights Rd, Arlington Heights,IL, (847) 394-8676|Services:dt/wifi/pp"
-87.9814472,42.0512847,"McDonalds-Arlington Heights,IL","45 E Golf Rd, Arlington Heights,IL, (847) 427-8773|Services:dt/wifi"
-88.315286,41.778598,"McDonalds PlayPlace-Aurora,IL","1023 N Lake St, Aurora,IL, (630) 897-2052|Services:dt/wifi/pp"
-88.2818098,41.7817639,"McDonalds PlayPlace-Aurora,IL","1185 N Farnsworth, Aurora,IL, (630) 898-0299|Services:dt/wifi/pp"
-88.276129,41.81371,"McDonalds-Aurora,IL","1505 Butterfield Road, Aurora,IL, (630) 851-0663|Services:dt/wifi"
-88.2084022,41.7597011,"McDonalds-Aurora,IL","188 Fox Valley Ctr, Aurora,IL, (630) 499-0516|Services:dt/wifi"
-88.366128,41.767052,"McDonalds PlayPlace-Aurora,IL","2011 West Galena Plaza, Aurora,IL, (630) 859-1778|Services:dt/wifi/pp"
-88.2536763,41.7141596,"McDonalds PlayPlace-Aurora,IL","2230 S Eola Rd, Aurora,IL 60503, (630) 229-6571|Services:dt/wifi/pp"
-88.2555473,41.7365288,"McDonalds-Aurora,IL","2595 Ogden Ave, Aurora,IL, (630) 585-8283|Services:dt/wifi"
-88.2468588,41.7456452,"McDonalds-Aurora,IL","425 N Eola, Aurora,IL, (630) 499-8121|Services:dt/wifi"
-88.207046,41.759414,"McDonalds-Aurora,IL","4440 Fox Valley Shctr, Aurora,IL, (630) 851-8080|Services:dt/wifi"
-88.3006983,41.7541707,"McDonalds-Aurora,IL","711 E New York St, Aurora,IL, (630) 375-9983|Services:dt/wifi"
-88.321786,41.760199,"McDonalds-Aurora,IL","Galena & Locust, Aurora,IL, (630) 801-1641|Services:dt/wifi"
-87.8626066,42.1995519,"McDonalds-Bannockburn,IL","2587 Waukegan Rd, Bannockburn,IL 60015, (847) 236-0461|Services:dt/wifi"
-88.1391539,42.1614912,"McDonalds-Barrington,IL","227 W Northwest Hwy, Barrington,IL, (847) 381-4488|Services:dt/wifi"
-88.206404,41.977721,"McDonalds PlayPlace-Bartlett,IL","791 S Il Rt 59, Bartlett,IL, (630) 483-2350|Services:dt/wifi/pp"
-89.6726453,40.6451673,"McDonalds-Bartonville,IL","1205 W Garfield, Bartonville,IL, (309) 697-9594|Services:dt/wifi"
-89.6484177,40.6531498,"McDonalds-Bartonville,IL","5600 S Washington St, Bartonville,IL, (309) 633-5600|Services:dt/wifi"
-88.3087302,41.8499633,"McDonalds-Batavia,IL","125 W Wilson, Batavia,IL, (630) 879-0024|Services:dt/wifi"
-87.826436,42.429376,"McDonalds-Beach Park,IL","39082 N Sheridan Rd, Beach Park,IL, (847) 746-8430|Services:dt/wifi"
-90.4415662,40.0028749,"McDonalds PlayPlace-Beardstown,IL","One Plaza Street, Beardstown,IL, (217) 323-5955|Services:dt/wifi/pp"
-87.62072,41.34843,"McDonalds-Beecher,IL","901 Dixie Hwy, Beecher,IL, (708) 946-1539|Services:dt/wifi"
-89.9290752,38.5693048,"McDonalds-Belleville,IL","1153 N Green Mount Rd, Belleville,IL, (618) 628-8375|Services:dt/wifi"
-89.982581,38.502475,"McDonalds-Belleville,IL","125 South Belt East, Belleville,IL, (618) 235-6226|Services:dt/wifi"
-90.023193,38.539962,"McDonalds PlayPlace-Belleville,IL","4422 W Main St, Belleville,IL, (618) 233-5786|Services:dt/wifi/pp"
-90.05102,38.5436206,"McDonalds-Belleville,IL","7301 Westfield Plz, Belleville,IL, (618) 233-9696|Services:dt/wifi"
-89.949027,38.517375,"McDonalds PlayPlace-Belleville,IL","906 Carlyle Ave, Belleville,IL, (618) 277-7897|Services:dt/wifi/pp"
-87.8637393,41.8838789,"McDonalds-Bellwood,IL","520 25th Street, Bellwood,IL, (708) 493-2840|Services:dt/wifi"
-88.853432,42.269137,"McDonalds PlayPlace-Belvidere,IL","1313 North State Street, Belvidere,IL, (815) 544-0141|Services:dt/wifi/pp"
-88.8414502,42.2401947,"McDonalds-Belvidere,IL","240 W Chyrsler Dr, Belvidere,IL, (815) 547-5254|Services:dt/wifi"
-88.8416584,42.2337755,"McDonalds-Belvidere,IL","5111 Pearl St, Belvidere,IL 61008, (815) 544-1972|Services:dt/wifi"
-87.9445275,41.960885,"McDonalds-Bensenville,IL","302 W Irving Park Rd, Bensenville,IL 60106, (630) 422-7220|Services:dt/wifi"
-87.9595347,41.9476255,"McDonalds-Bensenville,IL","630 N Rt 83, Bensenville,IL, (630) 694-1448|Services:dt/wifi"
-87.9113316,41.8895314,"McDonalds PlayPlace-Berkeley,IL","5707 St Charles Rd, Berkeley,IL, (708) 544-9706|Services:dt/wifi/pp"
-87.783733,41.850214,"McDonalds PlayPlace-Berwyn,IL","6401 Cermak Rd, Berwyn,IL, (708) 749-3002|Services:dt/wifi/pp"
-87.79921,41.82529,"McDonalds-Berwyn,IL","7031 Ogden Ave, Berwyn,IL 60402, (708) 484-8047|Services:dt/wifi"
-87.803386,41.864683,"McDonalds-Berwyn,IL","7135 W Roosevelt Rd, Berwyn,IL, (708) 749-1555|Services:dt/wifi"
-87.802979,41.849966,"McDonalds-Berwyn,IL","7181 W Cermak Rd, Berwyn,IL, (708) 484-0434|Services:dt/wifi"
-90.0580254,38.9007926,"McDonalds-Bethalto,IL","#2 Plaza Drive, Bethalto,IL, (618) 377-2216|Services:dt/wifi"
-88.0810401,41.9577882,"McDonalds-Bloomingdale,IL","101 E Lake St, Bloomingdale,IL, (630) 539-6440|Services:dt/wifi"
-88.119265,41.951284,"McDonalds PlayPlace-Bloomingdale,IL","72 Stratford Square Dr, Bloomingdale,IL, (630) 980-3525|Services:dt/wifi/pp"
-88.955976,40.4883493,"McDonalds PlayPlace-Bloomington,IL","1610 E Empire, Bloomington,IL, (309) 663-8450|Services:dt/wifi"
-88.9911917,40.4461529,"McDonalds-Bloomington,IL","2410 S Main, Bloomington,IL, (309) 828-1616|Services:dt/wifi"
-88.9552457,40.4735953,"McDonalds PlayPlace-Bloomington,IL","2507 E Oakland Avenue, Bloomington,IL, (309) 662-3114|Services:dt/wifi/pp"
-88.923726,40.488449,"McDonalds-Bloomington,IL","3102 E Empire St, Bloomington,IL 61704, (309) 661-2004|Services:dt/wifi"
-89.0252951,40.4830624,"McDonalds PlayPlace-Bloomington,IL","525 Brock Drive, Bloomington,IL, (309) 829-8613|Services:dt/wifi/pp"
-87.681707,41.676703,"McDonalds-Blue Island,IL","11920 S Western Ave, Blue Island,IL, (708) 371-6118|Services:dt/wifi"
-88.068207,41.6985188,"McDonalds PlayPlace-Bolingbrook,IL","100 N Bolingbrook Dr, Bolingbrook,IL, (630) 739-0080|Services:dt/wifi/pp"
-88.1260107,41.7042238,"McDonalds PlayPlace-Bolingbrook,IL","295 N Naperville Rd, Bolingbrook,IL, (630) 378-4755|Services:dt/wifi/pp"
-88.038301,41.723513,"McDonalds-Bolingbrook,IL","840 E Boughton Rd, Bolingbrook,IL 60440, (630) 783-1629|Services:dt/wifi"
-87.8498868,41.1915175,"McDonalds-Bourbonnais,IL","2050 N State Road 50, Bourbonnais,IL, (815) 929-7420|Services:dt/wifi"
-87.8863471,41.1593029,"McDonalds-Bourbonnais,IL","575 Main St NW, Bourbonnais,IL, (815) 932-6575|Services:dt/wifi"
-87.8510805,41.1600507,"McDonalds PlayPlace-Bradley,IL","1180 North Kinzie, Bradley,IL, (815) 937-1180|Services:dt/wifi/pp"
-88.2132741,41.2621661,"McDonalds-Braidwood,IL","285 W Front St, Braidwood,IL, (815) 458-0802|Services:dt/wifi"
-89.5300226,38.6195823,"McDonalds-Breese,IL","681 N 12th Street, Breese,IL, (618) 526-8243|Services:dt/wifi"
-87.7997963,41.7516796,"McDonalds-Bridgeview,IL","7701 South Harlem, Bridgeview,IL, (708) 430-9520|Services:dt/wifi"
-87.8171287,41.7477321,"McDonalds-Bridgeview,IL","7920 West 79th St, Bridgeview,IL, (708) 496-1777|Services:dt/wifi"
-87.799125,41.7348249,"McDonalds PlayPlace-Bridgeview,IL","8611 S Harlem Avenue, Bridgeview,IL, (708) 599-1750|Services:dt/wifi/pp"
-87.850777,41.851545,"McDonalds PlayPlace-Broadview,IL","6200 Broadview [village Square], Broadview,IL, (708) 338-2523|Services:dt/wifi/pp"
-87.984807,42.172965,"McDonalds-Buffalo Grove,IL","1200 N Arlington Heights Rd, Buffalo Grove,IL, (847) 821-2002|Services:dt/wifi"
-87.7556537,41.7488388,"McDonalds-Burbank,IL","5355 West 79th Street, Burbank,IL, (708) 425-6966|Services:dt/wifi"
-89.255885,42.125448,"McDonalds-Byron,IL","105 N Union St, Byron,IL 61010, (815) 234-2004|Services:dt/wifi"
